392, 2021-04-15 2062 501 300 1899;
393, 2021-04-16 2044 463 309 1900;
394, 2021-04-17 1471 359 189 1380;
395, 2021-04-18 1111 233 140 488;
396, 2021-04-19 2066 502 449 1170;
397, 2021-04-20 2404 601 375 2074;
398, 2021-04-21 2095 476 316 1886;
399, 2021-04-22 1878 478 285 1881;
400, 2021-04-23 1932 436 309 1783;
401, 2021-04-24 1368 348 220 1449;
402, 2021-04-25 881 218 145 527;
403, 2021-04-26 1944 470 400 1218;
404, 2021-04-27 2109 484 338 2042;
